ID,session,turn,roomname,playerOne,playerTwo,playerOneRoll,playerTwoRoll,"amount ","qty ",events,whoWon,"playerOne winstreaks","playerTwo winstreaks","host time ","player time "
3,1959,0,,pawan23,abu23,00000,00000,0,0,NNN,NNN,0,0,0,0
4,6163,0,play,pawan23,abu23,45543,42415,6,6,poc,pawan23,1,0,0,0
5,7999,0,test,pawan23,abu23,36266,44466,6,6,por,pawan23,1,0,0,0
6,1896,0,zero,pawan23,abu23,34356,62112,6,6,poc,pawan23,1,0,0,0
7,1896,1,zero,pawan23,abu23,00000,00000,0,0,NNN,NNN,1,0,0,0
8,3191,0,turn,pawan23,abu23,56634,65551,6,6,poc,pawan23,1,1,0,0
9,3191,1,turn,pawan23,abu23,33223,52166,6,6,ptc,abu23,1,1,0,0
10,3191,2,turn,pawan23,abu23,34336,35162,5,5,ptc,abu23,1,1,0,0
11,3191,3,turn,pawan23,abu23,51264,26435,6,6,ptc,abu23,1,1,0,0
12,3191,4,turn,pawan23,abu23,51433,16162,6,6,poc,pawan23,1,1,0,0
13,3191,5,turn,pawan23,abu23,00000,00000,0,0,NNN,NNN,1,0,0,0
14,8045,0,work,pawan23,abu23,51431,41663,6,6,poc,pawan23,3,3,0,0
15,8045,1,work,pawan23,abu23,23214,44362,6,6,ptc,abu23,3,3,0,0
16,8045,2,work,pawan23,abu23,45624,33253,5,5,ptc,abu23,3,3,0,0
17,8045,3,work,pawan23,abu23,23636,55356,6,6,ptc,abu23,3,3,0,0
18,8045,4,work,pawan23,abu23,51511,64511,6,6,ptc,pawan23,3,3,0,0
19,8045,5,work,none,abu23,00000,00000,0,0,ptc,pawan23,3,3,0,0
20,1680,0,wish,pawan23,abu23,00000,00000,0,0,NNN,NNN,0,0,0,0
21,9103,0,dice,pawan23,abu23,64663,00000,0,0,por,NNN,0,0,0,0
22,4815,0,host,pawan23,"not joined",00000,00000,0,0,NNN,NNN,0,0,0,0
23,8493,0,new,pawan23,abu23,41225,66453,4,4,poc,pawan23,1,0,0,0
24,8493,1,new,pawan23,none,00000,00000,0,0,NNN,NNN,1,0,0,0
25,5547,0,rtime,pawan23,abu23,00000,00000,0,0,NNN,NNN,0,0,0,0
35,4928,0,time,none,none,00000,00000,0,0,NNN,NNN,0,0,0,0
40,5187,1,driving,pawan23,abu23,00000,00000,0,0,NNN,NNN,0,0,0,0
41,8537,0,,pawan23,"not joined",00000,00000,0,0,NNN,NNN,0,0,0,0
49,8464,1,newer,none,abu23,00000,00000,0,0,kick,NNN,0,0,0,0
50,5744,0,kicker,none,abu23,35546,24316,4,4,kick,abu23,0,1,0,0
51,3286,0,kick,none,abu23,62436,62321,4,4,NNN,abu23,0,1,0,0
74,3269,1,newk,none,none,00000,00000,0,0,kick,NNN,0,0,0,0
110,4139,1,hjk,none,none,00000,00000,0,0,kick,NNN,0,0,0,0
175,2682,1,lol,none,none,00000,00000,0,0,kick,NNN,0,0,0,0
252,5853,1,jilo,pawan23,none,65156,00000,0,0,por,NNN,0,0,0,0
266,2296,1,fgh,pawan,abu23,51125,63214,4,4,poc,abu23,1,1,15249,0
267,2296,2,fgh,pawan,abu23,43411,34653,3,3,ptc,pawan,1,1,0,8527
268,2296,3,fgh,pawan,none,00000,00000,0,0,NNN,NNN,1,1,0,0
269,3400,1,lio,pawan,none,00000,00000,0,0,NNN,NNN,0,0,0,0
270,8588,1,auto,pawan,none,11132,14551,3,3,pob,NNN,0,0,0,0
271,5995,1,pol,pawan,none,00000,00000,3,3,pob,NNN,0,0,0,0
272,1264,1,god,pawan,abu23,35333,21652,4,4,poc,pawan,7,2,19807,0
273,1264,2,god,pawan,abu23,41351,11525,5,5,poc,abu23,7,2,25849,0
274,1264,3,god,pawan,abu23,45335,46532,5,5,poc,pawan,7,2,66522,0
275,1264,4,god,pawan,abu23,13531,33232,5,5,poc,pawan,7,2,33882,0
276,1264,5,god,pawan,abu23,00000,00000,4,4,pob,NNN,7,2,0,0
277,1875,1,dig,pawan,abu23,16153,34435,6,6,poc,pawan,4,7,7486,0
278,1875,2,dig,pawan,abu23,51432,64433,5,5,poc,pawan,4,7,287769,0
279,1875,3,dig,pawan,abu23,45334,32511,4,4,poc,abu23,4,7,671218,0
280,1875,4,dig,pawan,abu23,42265,46433,5,5,ptc,abu23,4,7,0,6314
281,1875,5,dig,pawan,none,42511,12552,5,5,pob,pawan,4,7,0,4112
282,2306,1,lob,pawan,abu23,62262,65332,5,5,poc,pawan,2,5,4610,0
283,2306,2,lob,pawan,abu23,22661,51255,5,5,poc,abu23,2,5,23970,0
284,2306,3,lob,pawan,abu23,51466,45224,5,5,poc,pawan,2,5,4819,0
285,2306,4,lob,pawan,abu23,54626,26625,6,6,ptc,abu23,2,5,0,0
286,2306,5,lob,pawan,abu23,16465,51443,6,6,ptc,abu23,2,5,0,0
287,2306,6,lob,pawan,abu23,46615,21255,6,"qty ",ptc,abu23,2,5,0,5598
288,2306,7,lob,pawan,none,00000,00000,0,0,NNN,NNN,2,5,0,0
289,3021,1,when,pawan,abu23,32265,62151,5,5,poc,pawan,1,0,9138,0
290,3021,2,when,pawan,none,00000,00000,0,0,NNN,NNN,1,0,0,0
291,4487,1,mio,pawan,none,00000,00000,0,0,NNN,NNN,0,0,0,0
292,4306,1,dio,pawan,none,00000,00000,0,0,NNN,NNN,0,0,0,0
293,6131,1,fio,pawan,none,32255,61431,4,4,poc,pawan,1,0,4365,0
294,8490,1,vbn,pawan,abu23,16211,41152,5,5,poc,abu23,6,3,9963,0
295,8490,2,vbn,pawan,abu23,16613,43416,5,5,poc,pawan,6,3,5680,0
296,8490,3,vbn,pawan,abu23,23333,43436,4,4,ptc,abu23,6,3,0,30749
297,8490,4,vbn,pawan,abu23,44224,35166,5,5,poc,pawan,6,3,3705,0
298,8490,5,vbn,pawan,abu23,11526,54122,4,6,poc,pawan,6,3,20353,0
299,8490,6,vbn,pawan,abu23,52215,00000,4,4,poc,pawan,6,3,4598,0
300,8490,7,vbn,pawan,abu23,25441,12314,3,4,ptc,pawan,6,3,0,7681
301,8490,8,vbn,pawan,abu23,42436,21546,5,5,poc,pawan,6,3,6366,0
302,8490,9,vbn,pawan,none,00000,00000,0,0,NNN,NNN,6,3,0,0
315,9982,1,clo,pawan,none,00000,00000,0,0,kick,NNN,0,0,0,0
316,9190,1,game,pawan,"not joined",00000,00000,0,0,NNN,NNN,0,0,0,0
317,9276,1,newr,pawan,"not joined",00000,00000,0,0,NNN,NNN,0,0,0,0
318,1062,1,dens,pawan,test32,22536,54443,5,5,ptc,test32,0,2,0,6109
319,1062,2,dens,pawan,test32,13641,24345,4,4,poc,test32,0,2,6065,0
320,6939,1,seek,pawan,test32,00000,00000,0,0,NNN,NNN,0,0,0,0
321,6650,1,full,pawan,test32,32122,46622,4,4,poc,pawan,1,0,3032,0
