ID,session,user,turn,"player roll","machine roll","player amount","player qty","mach amt","mach qty",reaction,"what happened","player winstreak","machine winstreak"
397,2085,player,1,00000,00000,0,0,0,0,0,NNN,0,0
400,8894,player,1,00000,00000,0,0,0,0,0,NNN,0,0
401,9527,player,1,13441,66554,3,3,3,5,95634,PC,0,0
404,5533,player,1,00000,00000,0,0,0,0,0,NNN,0,0
405,6061,player,1,00000,00000,0,0,0,0,0,NNN,0,0
406,109,player,1,32646,41643,3,3,3,5,1397,PC,0,0
407,109,player,2,00000,00000,0,0,0,0,0,NNN,1,0
408,1806,player,1,00000,00000,0,0,0,0,0,NNN,0,0
409,9487,player,1,00000,00000,0,0,0,0,0,NNN,0,0
410,8221,player,1,51414,21626,3,3,3,5,622,PC,0,0
411,8221,player,2,00000,00000,0,0,0,0,0,NNN,1,0
412,8221,player,3,00000,00000,0,0,0,0,0,NNN,1,0
413,8221,player,4,00000,00000,0,0,0,0,0,NNN,1,0
414,2137,root,1,00000,00000,0,0,0,0,0,NNN,0,0
415,7439,pawan23,1,00000,00000,0,0,0,0,0,NNN,0,0
416,9654,pawan23,1,54425,31644,4,4,4,6,2104,PC,0,0
417,9654,player,2,00000,00000,4,4,4,6,841,PC,1,0
418,9654,player,3,42361,41652,4,4,4,6,937,PC,2,0
419,9654,player,4,00000,00000,0,0,0,0,0,NNN,3,0
420,9654,player,5,00000,00000,0,0,0,0,0,NNN,3,0
421,3174,pawan23,1,15361,23262,3,3,3,5,0,NNN,0,0
422,3174,player,2,00000,00000,0,0,0,0,0,PC,0,0
423,3174,player,3,12621,12242,4,4,4,6,873,PC,0,1
424,3174,player,4,00000,00000,5,5,0,0,0,MC,1,1
425,3174,player,5,24435,43452,3,3,3,5,0,NNN,1,2
426,3174,player,6,00000,00000,0,0,0,0,0,NNN,1,2
427,1176,pawan23,1,44633,25636,4,4,4,6,0,NNN,0,0
428,1176,player,2,15616,35642,5,5,5,6,1063,PC,0,0
429,1176,player,3,00000,00000,0,0,0,0,0,NNN,1,0
430,5355,pawan23,1,23456,63115,3,3,3,5,1667,PC,0,0
431,5355,pawan23,2,35511,44154,3,3,3,5,1357,PC,1,0
432,5355,pawan23,3,55542,62133,4,4,4,6,668,PC,2,0
433,5355,pawan23,4,00000,00000,0,0,0,0,0,NNN,3,0
434,4019,pawan,1,00000,00000,0,0,0,0,0,NNN,0,0
435,6656,pawan,1,00000,00000,0,0,0,0,0,NNN,0,0
